施策認知度順位,都道府県名,スコア,SDGs認知度順位
1,福井県,76.9,22
2,鳥取県,71.4,29
3,岡山県,66.6,18
4,長崎県,65.6,27
5,沖縄県,63.4,17
6,福島県,63.0,13
7,長野県,62.4,24
7,富山県,62.4,25
9,宮崎県,61.8,12
10,愛媛県,55.7,39
11,京都府,54.7,14
12,滋賀県,54.6,5
13,青森県,54.2,46
14,福岡県,53.6,31
15,神奈川県,53.0,2
16,栃木県,52.5,7
16,三重県,52.5,32
18,静岡県,52.1,29
19,広島県,51.7,22
20,佐賀県,51.5,45
21,兵庫県,51.1,6
22,東京都,50.2,1
23,熊本県,49.9,16
24,和歌山県,49.7,8
25,北海道,49.3,35
26,山口県,48.6,33
27,埼玉県,48.5,3
28,石川県,48.2,28
29,茨城県,47.4,9
30,大分県,46.6,36
31,山梨県,46.2,44
32,高知県,45.7,36
33,宮城県,45.4,38
34,愛知県,44.6,21
35,秋田県,43.2,10
36,大阪府,42.8,19
37,徳島県,42.1,26
38,島根県,39.5,19
39,新潟県,39.4,34
40,岐阜県,38.0,42
41,奈良県,37.6,15
42,鹿児島県,37.1,47
43,香川県,36.9,41
44,山形県,35.9,40
45,岩手県,35.8,42
46,千葉県,35.3,4
47,群馬県,34.9,11
（出所：日経BP 総合研究所）,,,
